SubjectID,Test,Accuracy,Trial Number,Skiped,Time
YK1UQ,vertical,0.08064435,1,False,03:39:03_11/19/2021
YK1UQ,vertical,-0.049973,2,False,03:39:07_11/19/2021
YK1UQ,vertical,-0.1097021,3,False,03:39:11_11/19/2021
YK1UQ,vertical,-0.4187789,4,False,03:39:16_11/19/2021
YK1UQ,vertical,-0.02451028,5,False,03:39:23_11/19/2021
YK1UQ,vertical,-0.05574363,6,False,03:39:27_11/19/2021
YK1UQ,vertical,-0.470576,7,False,03:39:30_11/19/2021
YK1UQ,vertical,0.07088019,8,False,03:39:34_11/19/2021
YK1UQ,vertical,-0.003987625,9,False,03:39:41_11/19/2021
YK1UQ,vertical,-0.2177773,10,False,03:39:45_11/19/2021
YK1UQ,vertical,0.01136213,11,False,03:39:58_11/19/2021
YK1UQ,vertical,-0.005029598,12,False,03:40:02_11/19/2021
YK1UQ,vertical,0.1291752,13,False,03:40:07_11/19/2021
YK1UQ,vertical,-0.06354991,14,False,03:40:11_11/19/2021
YK1UQ,vertical,0.3466269,15,False,03:40:15_11/19/2021
YK1UQ,vertical,-21.29403,16,False,03:40:16_11/19/2021
YK1UQ,vertical,-11.66014,17,False,03:40:16_11/19/2021
YK1UQ,vertical,11.61783,18,False,03:40:17_11/19/2021
YK1UQ,vertical,-21.13321,19,False,03:40:18_11/19/2021
YK1UQ,vertical,16.50206,20,False,03:40:19_11/19/2021
YK1UQ,tangential,2.663172,1,False,03:40:23_11/19/2021
YK1UQ,tangential,2.158187,2,False,03:40:26_11/19/2021
YK1UQ,tangential,0.9456729,3,False,03:40:28_11/19/2021
YK1UQ,tangential,2.881488,4,False,03:40:31_11/19/2021
YK1UQ,tangential,3.242119,5,False,03:40:35_11/19/2021
YK1UQ,tangential,1.478471,6,False,03:40:39_11/19/2021
YK1UQ,tangential,3.092122,7,False,03:40:43_11/19/2021
YK1UQ,tangential,3.350714,8,False,03:40:46_11/19/2021
YK1UQ,tangential,5.532084,9,False,03:40:48_11/19/2021
YK1UQ,tangential,4.401779,10,False,03:40:52_11/19/2021
YK1UQ,tangential,3.73142,11,False,03:40:54_11/19/2021
YK1UQ,tangential,3.235907,12,False,03:40:57_11/19/2021
YK1UQ,tangential,4.082499,13,False,03:40:59_11/19/2021
YK1UQ,tangential,4.327074,14,False,03:41:03_11/19/2021
YK1UQ,tangential,4.662028,15,False,03:41:11_11/19/2021
YK1UQ,tangential,4.020553,16,False,03:41:16_11/19/2021
YK1UQ,tangential,1.935741,17,False,03:41:18_11/19/2021
YK1UQ,tangential,1.288163,18,False,03:41:22_11/19/2021
YK1UQ,tangential,21.45908,19,False,03:41:26_11/19/2021
YK1UQ,tangential,-39.80261,20,False,03:41:26_11/19/2021

