SubjectID,Test,Accuracy,Trial Number,Skiped,Time
X49YN,vertical,-0.2845296,1,False,03:45:57_11/19/2021
X49YN,vertical,-0.129515,2,False,03:46:07_11/19/2021
X49YN,vertical,-0.2105162,3,False,03:46:15_11/19/2021
X49YN,vertical,-0.1600635,4,False,03:46:20_11/19/2021
X49YN,vertical,-0.2267786,5,False,03:46:29_11/19/2021
X49YN,vertical,-0.2854072,6,False,03:46:37_11/19/2021
X49YN,vertical,-0.0560688,7,False,03:47:00_11/19/2021
X49YN,vertical,-0.2714143,8,False,03:47:04_11/19/2021
X49YN,vertical,-0.2248229,9,False,03:47:11_11/19/2021
X49YN,vertical,-0.07101455,10,False,03:47:20_11/19/2021
X49YN,vertical,-0.2353213,11,False,03:47:33_11/19/2021
X49YN,vertical,-0.362649,12,False,03:47:40_11/19/2021
X49YN,vertical,-0.474959,13,False,03:47:45_11/19/2021
X49YN,vertical,-0.3650458,14,False,03:47:52_11/19/2021
X49YN,vertical,-0.3466975,15,False,03:47:55_11/19/2021
X49YN,vertical,11.65873,16,False,03:47:57_11/19/2021
X49YN,vertical,1.503219,17,False,03:47:57_11/19/2021
X49YN,vertical,11.4459,18,False,03:47:58_11/19/2021
X49YN,vertical,2.901353,19,False,03:47:59_11/19/2021
X49YN,vertical,18.79337,20,False,03:47:59_11/19/2021
X49YN,tangential,-0.4253235,1,False,03:48:05_11/19/2021
X49YN,tangential,-1.135315,2,False,03:48:10_11/19/2021
X49YN,tangential,-0.3397217,3,False,03:48:18_11/19/2021
X49YN,tangential,0.1781462,4,False,03:48:23_11/19/2021
X49YN,tangential,-0.2461853,5,False,03:48:26_11/19/2021
X49YN,tangential,-0.4515991,6,False,03:48:33_11/19/2021
X49YN,tangential,-0.4268188,7,False,03:48:35_11/19/2021
X49YN,tangential,-0.2629089,8,False,03:48:39_11/19/2021
X49YN,tangential,-1.322632,9,False,03:48:43_11/19/2021
X49YN,tangential,-0.8539734,10,False,03:48:47_11/19/2021
X49YN,tangential,-1.907043,11,False,03:48:51_11/19/2021
X49YN,tangential,-0.7532043,12,False,03:48:58_11/19/2021
X49YN,tangential,-0.5143127,13,False,03:49:01_11/19/2021
X49YN,tangential,-1.75824,14,False,03:49:08_11/19/2021
X49YN,tangential,-1.833649,15,False,03:49:09_11/19/2021
X49YN,tangential,-1.332733,16,False,03:49:15_11/19/2021
X49YN,tangential,20.65207,17,False,03:49:16_11/19/2021
X49YN,tangential,-31.08566,18,False,03:49:16_11/19/2021
X49YN,tangential,-30.49515,19,False,03:49:17_11/19/2021
X49YN,tangential,15.33522,20,False,03:49:18_11/19/2021

