SubjectID,Test,Accuracy,Trial Number,Skiped,Time
IPTDB,vertical,0.2236193,1,False,03:28:06_11/19/2021
IPTDB,vertical,0.2997918,2,False,03:28:11_11/19/2021
IPTDB,vertical,0.4088229,3,False,03:28:16_11/19/2021
IPTDB,vertical,0.2390989,4,False,03:28:20_11/19/2021
IPTDB,vertical,0.3959536,5,False,03:28:31_11/19/2021
IPTDB,vertical,0.44098,6,False,03:28:37_11/19/2021
IPTDB,vertical,0.3626552,7,False,03:28:47_11/19/2021
IPTDB,vertical,0.3592878,8,False,03:28:55_11/19/2021
IPTDB,vertical,0.4883485,9,False,03:29:00_11/19/2021
IPTDB,vertical,0.5578409,10,False,03:29:04_11/19/2021
IPTDB,vertical,0.6601204,11,False,03:29:08_11/19/2021
IPTDB,vertical,0.7465527,12,False,03:29:13_11/19/2021
IPTDB,vertical,0.6728117,13,False,03:29:17_11/19/2021
IPTDB,vertical,0.3728746,14,False,03:29:22_11/19/2021
IPTDB,vertical,0.6639847,15,False,03:29:27_11/19/2021
IPTDB,vertical,-11.41729,16,False,03:29:31_11/19/2021
IPTDB,vertical,3.271963,17,False,03:29:32_11/19/2021
IPTDB,vertical,9.856537,18,False,03:29:33_11/19/2021
IPTDB,vertical,-4.1538,19,False,03:29:34_11/19/2021
IPTDB,vertical,-20.79774,20,False,03:29:35_11/19/2021
IPTDB,tangential,1.711173,1,False,03:29:50_11/19/2021
IPTDB,tangential,1.491324,2,False,03:29:53_11/19/2021
IPTDB,tangential,2.213653,3,False,03:29:56_11/19/2021
IPTDB,tangential,2.490294,4,False,03:30:00_11/19/2021
IPTDB,tangential,1.747776,5,False,03:30:05_11/19/2021
IPTDB,tangential,1.380923,6,False,03:30:10_11/19/2021
IPTDB,tangential,0.5298327,7,False,03:30:20_11/19/2021
IPTDB,tangential,1.565625,8,False,03:30:22_11/19/2021
IPTDB,tangential,0.1995961,9,False,03:30:27_11/19/2021
IPTDB,tangential,1.834704,10,False,03:30:31_11/19/2021
IPTDB,tangential,2.778473,11,False,03:30:33_11/19/2021
IPTDB,tangential,1.558783,12,False,03:30:40_11/19/2021
IPTDB,tangential,1.046074,13,False,03:30:43_11/19/2021
IPTDB,tangential,1.164786,14,False,03:30:50_11/19/2021
IPTDB,tangential,2.109694,15,False,03:30:53_11/19/2021
IPTDB,tangential,4.225398,16,False,03:30:56_11/19/2021
IPTDB,tangential,0.005840302,17,False,03:30:56_11/19/2021
IPTDB,tangential,38.53504,18,False,03:30:57_11/19/2021
IPTDB,tangential,26.08887,19,False,03:30:57_11/19/2021
IPTDB,tangential,-36.85745,20,False,03:30:57_11/19/2021

