SubjectID,Test,Accuracy,Trial Number,Skiped,Time
N8VGB,vertical,-0.06323197,1,False,02:33:30_11/19/2021
N8VGB,vertical,-0.1407598,2,False,02:33:37_11/19/2021
N8VGB,vertical,-0.06814519,3,False,02:33:43_11/19/2021
N8VGB,vertical,-0.07436463,4,False,02:33:54_11/19/2021
N8VGB,vertical,-0.08301636,5,False,02:34:02_11/19/2021
N8VGB,vertical,-0.1278553,6,False,02:34:09_11/19/2021
N8VGB,vertical,-0.1534469,7,False,02:34:15_11/19/2021
N8VGB,vertical,-0.1491464,8,False,02:34:22_11/19/2021
N8VGB,vertical,-0.06754246,9,False,02:34:29_11/19/2021
N8VGB,vertical,-0.1664922,10,False,02:34:35_11/19/2021
N8VGB,vertical,-0.1912993,11,False,02:34:40_11/19/2021
N8VGB,vertical,-0.1850798,12,False,02:34:41_11/19/2021
N8VGB,vertical,-0.2278313,13,False,02:34:43_11/19/2021
N8VGB,vertical,-0.1438847,14,False,02:34:46_11/19/2021
N8VGB,vertical,0.05410082,15,False,02:34:50_11/19/2021
N8VGB,vertical,-8.835786,16,False,02:34:50_11/19/2021
N8VGB,vertical,-3.248059,17,False,02:34:51_11/19/2021
N8VGB,vertical,-11.71405,18,False,02:34:52_11/19/2021
N8VGB,vertical,-1.304822,19,False,02:34:52_11/19/2021
N8VGB,vertical,4.62179,20,False,02:34:53_11/19/2021
N8VGB,tangential,0.9834086,1,False,02:35:11_11/19/2021
N8VGB,tangential,1.607244,2,False,02:35:18_11/19/2021
N8VGB,tangential,0.5122952,3,False,02:35:24_11/19/2021
N8VGB,tangential,0.9549397,4,False,02:35:36_11/19/2021
N8VGB,tangential,1.180843,5,False,02:35:44_11/19/2021
N8VGB,tangential,0.4792694,6,False,02:36:00_11/19/2021
N8VGB,tangential,0.6741979,7,False,02:36:11_11/19/2021
N8VGB,tangential,1.279712,8,False,02:36:24_11/19/2021
N8VGB,tangential,1.431022,9,False,02:36:29_11/19/2021
N8VGB,tangential,1.383976,10,False,02:36:37_11/19/2021
N8VGB,tangential,0.4010527,11,False,02:36:47_11/19/2021
N8VGB,tangential,0.6618861,12,False,02:36:59_11/19/2021
N8VGB,tangential,0.6188182,13,False,02:37:10_11/19/2021
N8VGB,tangential,-0.3143616,14,False,02:37:16_11/19/2021
N8VGB,tangential,3.188159,15,False,02:37:18_11/19/2021
N8VGB,tangential,-21.26941,16,False,02:37:19_11/19/2021
N8VGB,tangential,26.13242,17,False,02:37:19_11/19/2021
N8VGB,tangential,-2.138458,18,False,02:37:20_11/19/2021
N8VGB,tangential,-42.65219,19,False,02:37:21_11/19/2021
N8VGB,tangential,-29.53833,20,False,02:37:22_11/19/2021

