SubjectID,Test,Accuracy,Trial Number,Skiped,Time
KAEED,vertical,-0.1835466,1,False,03:05:47_11/19/2021
KAEED,vertical,-0.03581339,2,False,03:05:59_11/19/2021
KAEED,vertical,-0.1194906,3,False,03:06:09_11/19/2021
KAEED,vertical,-0.1554913,4,False,03:06:21_11/19/2021
KAEED,vertical,-0.1473081,5,False,03:06:28_11/19/2021
KAEED,vertical,-0.2840771,6,False,03:06:37_11/19/2021
KAEED,vertical,-0.1876179,7,False,03:06:55_11/19/2021
KAEED,vertical,-0.2461092,8,False,03:07:06_11/19/2021
KAEED,vertical,-0.2527932,9,False,03:07:19_11/19/2021
KAEED,vertical,-0.3691009,10,False,03:07:26_11/19/2021
KAEED,vertical,-0.4104119,11,False,03:07:34_11/19/2021
KAEED,vertical,-0.3761652,12,False,03:07:39_11/19/2021
KAEED,vertical,-0.3112646,13,False,03:07:45_11/19/2021
KAEED,vertical,-0.4147775,14,False,03:07:48_11/19/2021
KAEED,vertical,-0.4732795,15,False,03:07:52_11/19/2021
KAEED,vertical,14.733,16,False,03:07:53_11/19/2021
KAEED,vertical,-5.449583,17,False,03:07:53_11/19/2021
KAEED,vertical,11.34815,18,False,03:07:54_11/19/2021
KAEED,vertical,-16.57976,19,False,03:07:54_11/19/2021
KAEED,vertical,10.57618,20,False,03:07:55_11/19/2021
KAEED,tangential,1.759052,1,False,03:07:55_11/19/2021
KAEED,tangential,-0.87323,2,False,03:08:10_11/19/2021
KAEED,tangential,-2.11203,3,False,03:08:20_11/19/2021
KAEED,tangential,-2.265808,4,False,03:08:29_11/19/2021
KAEED,tangential,-0.9945984,5,False,03:08:40_11/19/2021
KAEED,tangential,-1.778137,6,False,03:08:54_11/19/2021
KAEED,tangential,-0.6010742,7,False,03:09:04_11/19/2021
KAEED,tangential,-1.592377,8,False,03:09:16_11/19/2021
KAEED,tangential,0.03944055,9,False,03:09:24_11/19/2021
KAEED,tangential,0.2645544,10,False,03:09:35_11/19/2021
KAEED,tangential,-1.360352,11,False,03:09:44_11/19/2021
KAEED,tangential,-1.817444,12,False,03:09:50_11/19/2021
KAEED,tangential,-1.506195,13,False,03:10:00_11/19/2021
KAEED,tangential,-1.35675,14,False,03:10:12_11/19/2021
KAEED,tangential,-1.919373,15,False,03:10:16_11/19/2021
KAEED,tangential,36.46084,16,False,03:10:16_11/19/2021
KAEED,tangential,40.45251,17,False,03:10:17_11/19/2021
KAEED,tangential,30.44172,18,False,03:10:17_11/19/2021
KAEED,tangential,-38.60532,19,False,03:10:18_11/19/2021
KAEED,tangential,-27.01767,20,False,03:10:18_11/19/2021

