SubjectID,Test,Accuracy,Trial Number,Skiped,Time
8BT9B,vertical,-0.3961243,1,False,02:52:17_11/19/2021
8BT9B,vertical,-0.2285703,2,False,02:52:23_11/19/2021
8BT9B,vertical,-0.7575377,3,False,02:52:28_11/19/2021
8BT9B,vertical,-0.0804489,4,False,02:52:30_11/19/2021
8BT9B,vertical,-0.3438444,5,False,02:52:34_11/19/2021
8BT9B,vertical,-0.2999198,6,False,02:52:38_11/19/2021
8BT9B,vertical,-0.3857767,7,False,02:52:40_11/19/2021
8BT9B,vertical,-0.3868943,8,False,02:52:44_11/19/2021
8BT9B,vertical,-0.336256,9,False,02:52:49_11/19/2021
8BT9B,vertical,0.008382014,10,False,02:52:52_11/19/2021
8BT9B,vertical,-0.02963074,11,False,02:52:55_11/19/2021
8BT9B,vertical,-0.2448885,12,False,02:53:01_11/19/2021
8BT9B,vertical,-0.01488016,13,False,02:53:02_11/19/2021
8BT9B,vertical,-0.09024894,14,False,02:53:04_11/19/2021
8BT9B,vertical,-0.3346796,15,False,02:53:07_11/19/2021
8BT9B,vertical,12.01292,16,False,02:53:07_11/19/2021
8BT9B,vertical,-4.771703,17,False,02:53:08_11/19/2021
8BT9B,vertical,8.57867,18,False,02:53:08_11/19/2021
8BT9B,vertical,-12.72595,19,False,02:53:08_11/19/2021
8BT9B,vertical,-2.229693,20,False,02:53:09_11/19/2021
8BT9B,tangential,3.26219,1,False,02:53:16_11/19/2021
8BT9B,tangential,0.3510458,2,False,02:53:18_11/19/2021
8BT9B,tangential,0.6620178,3,False,02:53:22_11/19/2021
8BT9B,tangential,1.796309,4,False,02:53:24_11/19/2021
8BT9B,tangential,-0.7012329,5,False,02:53:28_11/19/2021
8BT9B,tangential,2.112589,6,False,02:53:31_11/19/2021
8BT9B,tangential,-0.4424438,7,False,02:53:35_11/19/2021
8BT9B,tangential,1.209565,8,False,02:53:37_11/19/2021
8BT9B,tangential,2.4544,9,False,02:53:40_11/19/2021
8BT9B,tangential,2.503808,10,False,02:53:42_11/19/2021
8BT9B,tangential,2.463297,11,False,02:53:45_11/19/2021
8BT9B,tangential,2.027698,12,False,02:53:48_11/19/2021
8BT9B,tangential,0.8831916,13,False,02:53:51_11/19/2021
8BT9B,tangential,-0.6151123,14,False,02:53:55_11/19/2021
8BT9B,tangential,-0.4794617,15,False,02:53:58_11/19/2021
8BT9B,tangential,0.05293629,16,False,02:54:00_11/19/2021
8BT9B,tangential,1.743804,17,False,02:54:01_11/19/2021
8BT9B,tangential,1.626735,18,False,02:54:03_11/19/2021
8BT9B,tangential,1.583207,19,False,02:54:05_11/19/2021
8BT9B,tangential,4.52452,20,False,02:57:34_11/19/2021

