SubjectID,Test,Accuracy,Trial Number,Skiped,Time
0MAFX,vertical,0.1264463,1,False,02:58:38_11/19/2021
0MAFX,vertical,0.05081547,2,False,02:58:42_11/19/2021
0MAFX,vertical,0.06539618,3,False,02:58:51_11/19/2021
0MAFX,vertical,0.0948273,4,False,02:58:57_11/19/2021
0MAFX,vertical,0.1245186,5,False,02:59:03_11/19/2021
0MAFX,vertical,0.07911197,6,False,02:59:19_11/19/2021
0MAFX,vertical,0.07834824,7,False,02:59:23_11/19/2021
0MAFX,vertical,0.1611695,8,False,02:59:38_11/19/2021
0MAFX,vertical,0.0903422,9,False,02:59:47_11/19/2021
0MAFX,vertical,-0.05415472,10,False,02:59:57_11/19/2021
0MAFX,vertical,0.009320084,11,False,03:00:02_11/19/2021
0MAFX,vertical,0.1798017,12,False,03:00:14_11/19/2021
0MAFX,vertical,0.2633487,13,False,03:00:56_11/19/2021
0MAFX,vertical,0.07320526,14,False,03:01:01_11/19/2021
0MAFX,vertical,1.781953,15,False,03:01:03_11/19/2021
0MAFX,vertical,-0.05206072,16,False,03:01:04_11/19/2021
0MAFX,vertical,6.488445,17,False,03:01:05_11/19/2021
0MAFX,vertical,10.47912,18,False,03:01:06_11/19/2021
0MAFX,vertical,-7.655308,19,False,03:01:07_11/19/2021
0MAFX,vertical,21.09751,20,False,03:01:07_11/19/2021
0MAFX,tangential,1.94115,1,False,03:01:25_11/19/2021
0MAFX,tangential,1.75582,2,False,03:01:36_11/19/2021
0MAFX,tangential,1.956197,3,False,03:01:42_11/19/2021
0MAFX,tangential,2.393141,4,False,03:01:51_11/19/2021
0MAFX,tangential,2.79119,5,False,03:02:04_11/19/2021
0MAFX,tangential,2.199255,6,False,03:02:22_11/19/2021
0MAFX,tangential,2.387318,7,False,03:02:33_11/19/2021
0MAFX,tangential,3.283354,8,False,03:02:39_11/19/2021
0MAFX,tangential,3.390507,9,False,03:02:48_11/19/2021
0MAFX,tangential,3.553758,10,False,03:02:54_11/19/2021
0MAFX,tangential,3.920958,11,False,03:03:02_11/19/2021
0MAFX,tangential,3.344256,12,False,03:03:09_11/19/2021
0MAFX,tangential,2.697108,13,False,03:03:35_11/19/2021
0MAFX,tangential,1.283739,14,False,03:03:49_11/19/2021
0MAFX,tangential,7.965461,15,False,03:03:52_11/19/2021
0MAFX,tangential,-29.07242,16,False,03:03:52_11/19/2021
0MAFX,tangential,1.952816,17,False,03:03:53_11/19/2021
0MAFX,tangential,15.76078,18,False,03:03:53_11/19/2021
0MAFX,tangential,44.14737,19,False,03:03:54_11/19/2021
0MAFX,tangential,-8.617493,20,False,03:03:54_11/19/2021

