SubjectID,Test,Accuracy,Trial Number,Skiped,Time
6DM6R,vertical,-0.2308721,1,False,02:40:08_11/19/2021
6DM6R,vertical,-0.5096276,2,False,02:40:17_11/19/2021
6DM6R,vertical,-0.3754756,3,False,02:40:22_11/19/2021
6DM6R,vertical,-0.2822437,4,False,02:40:24_11/19/2021
6DM6R,vertical,-0.4625823,5,False,02:40:32_11/19/2021
6DM6R,vertical,-0.4217125,6,False,02:40:39_11/19/2021
6DM6R,vertical,-0.4456038,7,False,02:40:44_11/19/2021
6DM6R,vertical,-0.4514815,8,False,02:40:48_11/19/2021
6DM6R,vertical,-0.5902225,9,False,02:40:54_11/19/2021
6DM6R,vertical,-0.3208156,10,False,02:40:58_11/19/2021
6DM6R,vertical,-0.4103539,11,False,02:41:04_11/19/2021
6DM6R,vertical,-0.3408031,12,False,02:41:10_11/19/2021
6DM6R,vertical,-0.4633391,13,False,02:41:18_11/19/2021
6DM6R,vertical,-0.2828079,14,False,02:41:21_11/19/2021
6DM6R,vertical,-0.4097382,15,False,02:41:29_11/19/2021
6DM6R,vertical,4.542507,16,False,02:41:29_11/19/2021
6DM6R,vertical,-6.099808,17,False,02:41:29_11/19/2021
6DM6R,vertical,14.01891,18,False,02:41:30_11/19/2021
6DM6R,vertical,-7.566001,19,False,02:41:30_11/19/2021
6DM6R,vertical,12.97556,20,False,02:41:30_11/19/2021
6DM6R,tangential,0.8076935,1,False,02:41:30_11/19/2021
6DM6R,tangential,0.02717066,2,False,02:41:37_11/19/2021
6DM6R,tangential,1.579127,3,False,02:41:41_11/19/2021
6DM6R,tangential,1.060349,4,False,02:41:44_11/19/2021
6DM6R,tangential,0.7680158,5,False,02:41:48_11/19/2021
6DM6R,tangential,-0.1780701,6,False,02:41:54_11/19/2021
6DM6R,tangential,0.8642543,7,False,02:42:02_11/19/2021
6DM6R,tangential,0.8666649,8,False,02:42:05_11/19/2021
6DM6R,tangential,-0.5606384,9,False,02:42:07_11/19/2021
6DM6R,tangential,-0.2695923,10,False,02:42:10_11/19/2021
6DM6R,tangential,-0.6298828,11,False,02:42:13_11/19/2021
6DM6R,tangential,-0.04751587,12,False,02:42:16_11/19/2021
6DM6R,tangential,0.6140788,13,False,02:42:18_11/19/2021
6DM6R,tangential,-0.7358093,14,False,02:42:21_11/19/2021
6DM6R,tangential,-0.4995728,15,False,02:42:22_11/19/2021
6DM6R,tangential,-8.212769,16,False,02:42:43_11/19/2021
6DM6R,tangential,-40.81927,17,False,02:42:45_11/19/2021
6DM6R,tangential,-41.58713,18,False,02:42:45_11/19/2021
6DM6R,tangential,-23.13034,19,False,02:42:45_11/19/2021
6DM6R,tangential,-14.78024,20,False,02:42:46_11/19/2021

