SubjectID,Test,Accuracy,Trial Number,Skiped,Time
03PVM,vertical,-0.2248597,1,False,03:58:52_11/19/2021
03PVM,vertical,0.03768519,2,False,03:58:57_11/19/2021
03PVM,vertical,-0.2477659,3,False,03:59:03_11/19/2021
03PVM,vertical,0.01313691,4,False,03:59:11_11/19/2021
03PVM,vertical,0.05846921,5,False,03:59:15_11/19/2021
03PVM,vertical,-0.02585874,6,False,03:59:21_11/19/2021
03PVM,vertical,0.1847425,7,False,03:59:25_11/19/2021
03PVM,vertical,0.01025483,8,False,03:59:29_11/19/2021
03PVM,vertical,0.1020489,9,False,03:59:35_11/19/2021
03PVM,vertical,0.1670962,10,False,03:59:38_11/19/2021
03PVM,vertical,0.07462053,11,False,03:59:41_11/19/2021
03PVM,vertical,-0.04280575,12,False,03:59:44_11/19/2021
03PVM,vertical,0.1964312,13,False,03:59:47_11/19/2021
03PVM,vertical,0.01799691,14,False,03:59:55_11/19/2021
03PVM,vertical,0.1228788,15,False,04:00:00_11/19/2021
03PVM,vertical,14.27906,16,False,04:00:01_11/19/2021
03PVM,vertical,16.73171,17,False,04:00:02_11/19/2021
03PVM,vertical,-6.184818,18,False,04:00:02_11/19/2021
03PVM,vertical,-15.28755,19,False,04:00:03_11/19/2021
03PVM,vertical,7.635675,20,False,04:00:03_11/19/2021
03PVM,tangential,-0.6105957,1,False,04:00:06_11/19/2021
03PVM,tangential,-2.168793,2,False,04:00:09_11/19/2021
03PVM,tangential,-1.638458,3,False,04:00:12_11/19/2021
03PVM,tangential,-3.602325,4,False,04:00:15_11/19/2021
03PVM,tangential,-3.830902,5,False,04:00:18_11/19/2021
03PVM,tangential,-1.887024,6,False,04:00:21_11/19/2021
03PVM,tangential,-4.04892,7,False,04:00:26_11/19/2021
03PVM,tangential,-4.040985,8,False,04:00:29_11/19/2021
03PVM,tangential,-6.912201,9,False,04:00:34_11/19/2021
03PVM,tangential,-4.731842,10,False,04:00:38_11/19/2021
03PVM,tangential,-3.751831,11,False,04:00:41_11/19/2021
03PVM,tangential,-4.327301,12,False,04:00:46_11/19/2021
03PVM,tangential,-3.184204,13,False,04:00:51_11/19/2021
03PVM,tangential,-5.499908,14,False,04:00:54_11/19/2021
03PVM,tangential,-3.249786,15,False,04:00:57_11/19/2021
03PVM,tangential,44.15263,16,False,04:00:59_11/19/2021
03PVM,tangential,-28.80682,17,False,04:00:59_11/19/2021
03PVM,tangential,39.89806,18,False,04:01:00_11/19/2021
03PVM,tangential,-8.461609,19,False,04:01:00_11/19/2021
03PVM,tangential,27.26534,20,False,04:01:00_11/19/2021

