SubjectID,Test,Accuracy,Trial Number,Skiped,Time
K8APL,vertical,-0.2675605,1,False,03:50:37_11/19/2021
K8APL,vertical,-0.1752591,2,False,03:50:43_11/19/2021
K8APL,vertical,-0.1780494,3,False,03:50:46_11/19/2021
K8APL,vertical,-0.306098,4,False,03:50:51_11/19/2021
K8APL,vertical,-0.2300742,5,False,03:50:58_11/19/2021
K8APL,vertical,-0.2809372,6,False,03:51:02_11/19/2021
K8APL,vertical,-0.2134283,7,False,03:51:06_11/19/2021
K8APL,vertical,-0.1072404,8,False,03:51:09_11/19/2021
K8APL,vertical,-0.4426092,9,False,03:51:12_11/19/2021
K8APL,vertical,-0.3242037,10,False,03:51:17_11/19/2021
K8APL,vertical,-0.3026845,11,False,03:51:27_11/19/2021
K8APL,vertical,-0.2477813,12,False,03:51:30_11/19/2021
K8APL,vertical,-0.3075557,13,False,03:51:37_11/19/2021
K8APL,vertical,-0.3136065,14,False,03:51:41_11/19/2021
K8APL,vertical,-0.3829223,15,False,03:51:46_11/19/2021
K8APL,vertical,2.291043,16,False,03:51:47_11/19/2021
K8APL,vertical,17.83295,17,False,03:51:48_11/19/2021
K8APL,vertical,2.30539,18,False,03:51:48_11/19/2021
K8APL,vertical,18.33963,19,False,03:51:49_11/19/2021
K8APL,vertical,-21.79894,20,False,03:51:50_11/19/2021
K8APL,tangential,-0.9391174,1,False,03:51:57_11/19/2021
K8APL,tangential,-0.108429,2,False,03:51:59_11/19/2021
K8APL,tangential,-0.6659546,3,False,03:52:06_11/19/2021
K8APL,tangential,-0.9212646,4,False,03:52:15_11/19/2021
K8APL,tangential,0.05524426,5,False,03:52:29_11/19/2021
K8APL,tangential,-0.9975586,6,False,03:52:33_11/19/2021
K8APL,tangential,-0.233429,7,False,03:52:42_11/19/2021
K8APL,tangential,-2.446625,8,False,03:52:45_11/19/2021
K8APL,tangential,-1.944916,9,False,03:52:55_11/19/2021
K8APL,tangential,-2.352966,10,False,03:52:59_11/19/2021
K8APL,tangential,-2.317749,11,False,03:53:03_11/19/2021
K8APL,tangential,-0.913147,12,False,03:53:10_11/19/2021
K8APL,tangential,-2.338715,13,False,03:53:14_11/19/2021
K8APL,tangential,-1.911072,14,False,03:53:18_11/19/2021
K8APL,tangential,-0.5081482,15,False,03:53:22_11/19/2021
K8APL,tangential,2.384232,16,False,03:53:23_11/19/2021
K8APL,tangential,33.68837,17,False,03:53:24_11/19/2021
K8APL,tangential,-31.74728,18,False,03:53:24_11/19/2021
K8APL,tangential,-22.44354,19,False,03:53:25_11/19/2021
K8APL,tangential,-44.24924,20,False,03:53:26_11/19/2021

