SubjectID,Test,Accuracy,Trial Number,Skiped,Time
M125E,vertical,0.207209,1,True,04:09:42_11/19/2021
M125E,vertical,0.03641552,2,True,04:09:47_11/19/2021
M125E,vertical,-0.02127193,3,True,04:09:53_11/19/2021
M125E,vertical,-0.1320182,4,True,04:09:57_11/19/2021
M125E,vertical,-0.167088,5,True,04:09:58_11/19/2021
M125E,vertical,-0.06477439,6,True,04:10:01_11/19/2021
M125E,vertical,-0.1086251,7,True,04:10:06_11/19/2021
M125E,vertical,-0.1654034,8,True,04:10:09_11/19/2021
M125E,vertical,-0.05639057,9,True,04:10:19_11/19/2021
M125E,vertical,-0.08466201,10,True,04:10:28_11/19/2021
M125E,vertical,-0.08787344,11,True,04:10:30_11/19/2021
M125E,vertical,-0.07522739,12,True,04:10:36_11/19/2021
M125E,vertical,-0.1662736,13,True,04:10:38_11/19/2021
M125E,vertical,-0.191391,14,True,04:10:42_11/19/2021
M125E,vertical,-0.05365048,15,True,04:10:47_11/19/2021
M125E,vertical,-14.08449,16,False,04:10:50_11/19/2021
M125E,vertical,15.19622,17,False,04:10:52_11/19/2021
M125E,vertical,12.74312,18,False,04:10:52_11/19/2021
M125E,vertical,14.01001,19,False,04:10:53_11/19/2021
M125E,vertical,6.744715,20,False,04:10:56_11/19/2021
M125E,vertical,-9.93682,21,False,04:10:57_11/19/2021
M125E,vertical,-6.227335,22,False,04:10:58_11/19/2021
M125E,vertical,8.224249,23,False,04:10:59_11/19/2021
M125E,vertical,-19.40752,24,False,04:11:00_11/19/2021
M125E,vertical,3.402856,25,False,04:11:01_11/19/2021
M125E,vertical,14.78479,26,False,04:11:02_11/19/2021
M125E,vertical,3.881993,27,False,04:11:02_11/19/2021
M125E,vertical,2.931053,28,False,04:11:03_11/19/2021
M125E,vertical,2.585561,29,False,04:11:06_11/19/2021
M125E,vertical,-17.07831,30,False,04:11:07_11/19/2021
M125E,vertical,-0.6638397,31,False,04:11:08_11/19/2021
M125E,vertical,-16.10584,32,False,04:11:09_11/19/2021
M125E,vertical,7.12459,33,False,04:11:09_11/19/2021
M125E,vertical,-12.09039,34,False,04:11:10_11/19/2021
M125E,vertical,-15.19668,35,False,04:11:10_11/19/2021
M125E,tangential,-0.2278137,1,False,04:11:21_11/19/2021
M125E,tangential,-0.9908447,2,False,04:11:23_11/19/2021
M125E,tangential,0.1371873,3,False,04:11:26_11/19/2021
M125E,tangential,0.5526167,4,False,04:11:31_11/19/2021
M125E,tangential,-0.4900513,5,False,04:11:33_11/19/2021
M125E,tangential,-0.8632202,6,False,04:11:36_11/19/2021
M125E,tangential,-0.02261353,7,False,04:11:39_11/19/2021
M125E,tangential,-0.8509827,8,False,04:11:40_11/19/2021
M125E,tangential,0.5827407,9,False,04:11:45_11/19/2021
M125E,tangential,-0.9075623,10,False,04:11:48_11/19/2021
M125E,tangential,-0.07595825,11,False,04:11:52_11/19/2021
M125E,tangential,-0.02197266,12,False,04:11:55_11/19/2021
M125E,tangential,0.03482648,13,False,04:11:58_11/19/2021
M125E,tangential,-1.87738,14,False,04:11:59_11/19/2021
M125E,tangential,0.5747776,15,False,04:12:03_11/19/2021
M125E,tangential,39.99782,16,False,04:12:08_11/19/2021
M125E,tangential,29.08895,17,False,04:12:09_11/19/2021
M125E,tangential,9.150147,18,False,04:12:09_11/19/2021
M125E,tangential,-0.07025146,19,False,04:12:09_11/19/2021
M125E,tangential,4.525654,20,False,04:12:10_11/19/2021

