SubjectID,Test,Accuracy,Trial Number,Skiped,Time
TUS1H,vertical,0.3481164,1,False,03:32:55_11/19/2021
TUS1H,vertical,0.43858,2,False,03:32:59_11/19/2021
TUS1H,vertical,0.5779328,3,False,03:33:03_11/19/2021
TUS1H,vertical,0.517223,4,False,03:33:07_11/19/2021
TUS1H,vertical,0.5528097,5,False,03:33:09_11/19/2021
TUS1H,vertical,0.605883,6,False,03:33:13_11/19/2021
TUS1H,vertical,0.6427419,7,False,03:33:20_11/19/2021
TUS1H,vertical,0.7157401,8,False,03:33:23_11/19/2021
TUS1H,vertical,0.8585885,9,False,03:33:26_11/19/2021
TUS1H,vertical,0.8006552,10,False,03:33:27_11/19/2021
TUS1H,vertical,0.8763281,11,False,03:33:31_11/19/2021
TUS1H,vertical,-18.78379,12,False,03:33:33_11/19/2021
TUS1H,vertical,-12.80172,13,False,03:33:33_11/19/2021
TUS1H,vertical,9.945073,14,False,03:33:34_11/19/2021
TUS1H,vertical,-0.98211,15,False,03:33:36_11/19/2021
TUS1H,vertical,0.7671517,16,False,03:33:39_11/19/2021
TUS1H,vertical,-9.838852,17,False,03:33:40_11/19/2021
TUS1H,vertical,15.86055,18,False,03:33:41_11/19/2021
TUS1H,vertical,21.75928,19,False,03:33:42_11/19/2021
TUS1H,vertical,-14.05842,20,False,03:33:43_11/19/2021
TUS1H,tangential,0.02650157,1,False,03:33:47_11/19/2021
TUS1H,tangential,-0.8190613,2,False,03:33:54_11/19/2021
TUS1H,tangential,0.22034,3,False,03:33:59_11/19/2021
TUS1H,tangential,0.1415141,4,False,03:34:03_11/19/2021
TUS1H,tangential,0.2833703,5,False,03:34:09_11/19/2021
TUS1H,tangential,0.7654575,6,False,03:34:11_11/19/2021
TUS1H,tangential,1.04175,7,False,03:34:21_11/19/2021
TUS1H,tangential,1.453105,8,False,03:34:25_11/19/2021
TUS1H,tangential,2.345675,9,False,03:34:30_11/19/2021
TUS1H,tangential,2.431325,10,False,03:34:35_11/19/2021
TUS1H,tangential,1.40001,11,False,03:34:44_11/19/2021
TUS1H,tangential,10.6419,12,False,03:34:47_11/19/2021
TUS1H,tangential,12.88184,13,False,03:34:47_11/19/2021
TUS1H,tangential,40.40425,14,False,03:34:47_11/19/2021
TUS1H,tangential,-27.64612,15,False,03:34:47_11/19/2021
TUS1H,tangential,40.45925,16,False,03:34:48_11/19/2021
TUS1H,tangential,0.750103,17,False,03:34:48_11/19/2021
TUS1H,tangential,16.4328,18,False,03:34:48_11/19/2021
TUS1H,tangential,16.44774,19,False,03:34:50_11/19/2021
TUS1H,tangential,-21.56918,20,False,03:34:50_11/19/2021

